file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,dataset,-45.99311660410905,-46.3716911947405,5.472701148224702,8.156768747188154
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,dataset,-43.81309461805556,-53.549170567439155,3.8730141340304636,11.443148868500742
F2BJRLP3,0.0,30.7068125,dataset,-45.997832546401824,-46.89902698383177,3.6582507971113816,10.329792395517677
F2BJRLP2,0.0,28.6474375,dataset,-45.531918084642236,-45.75604359008981,3.581309105403901,8.01964270844999
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,dataset,-43.2642535562954,-52.34637011014498,2.7134299848272385,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,dataset,-44.8232925257732,-50.898491859436035,2.5419499080532306,12.358243745435463
