file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,dataset,-45.8179110282497,-45.88173729544472,3.89793929196005,8.1713368361116
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,dataset,-43.81341579861111,-53.54972193791316,3.8953015348522224,11.443148868500742
F2BJRLP3,0.0,30.7068125,dataset,-46.003093454900686,-46.89088493408861,3.659455927908461,10.329792395517677
F2BJRLP2,0.0,28.6474375,dataset,-45.43370964223386,-45.73306484635769,3.601075065581531,7.922912058235026
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,dataset,-43.163518651634384,-52.32666485126202,2.7278511603457676,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,dataset,-44.815958239368555,-50.9236208597819,2.5633459565624697,12.358243745435463
